# QT Clean v2 real-person names from Wikidata structured data (CC0-1.0)
# Format: source<TAB>Vietnamese/Latin target<TAB>type<TAB>provenance
伊达泰宗	Date Yasumune	person_name_japanese	wikidata:Q128167:japan
伊達公子	Kimiko Date	person_name_japanese	wikidata:Q229104:japan
伊達吉村	Date Yoshimura	person_name_japanese	wikidata:Q116151:japan
伊達忠宗	Date Tadamune	person_name_japanese	wikidata:Q115852:japan
伊達泰宗	Date Yasumune	person_name_japanese	wikidata:Q128167:japan
伊野波雅彥	Masahiko Inoha	person_name_japanese	wikidata:Q558814:japan
伊野波雅彦	Masahiko Inoha	person_name_japanese	wikidata:Q558814:japan
伊野田繁	Shigeru Inoda	person_name_japanese	wikidata:Q49422:japan
佐久間玲	Rei Sakuma	person_name_japanese	wikidata:Q49564:japan
佐久间玲	Rei Sakuma	person_name_japanese	wikidata:Q49564:japan
佐伯一麥	Kazumi Saeki	person_name_japanese	wikidata:Q552990:japan
佐伯一麦	Kazumi Saeki	person_name_japanese	wikidata:Q552990:japan
佐伯美香	Mika Saiki	person_name_japanese	wikidata:Q438765:japan
佐佐木勇人	Hayato Sasaki	person_name_japanese	wikidata:Q210231:japan
佐佐木祯子	Sadako Sasaki	person_name_japanese	wikidata:Q231997:japan
佐佐木禎子	Sadako Sasaki	person_name_japanese	wikidata:Q231997:japan
佐竹敬久	Norihisa Satake	person_name_japanese	wikidata:Q438468:japan
佐藤冴香	Sayaka Sato	person_name_japanese	wikidata:Q438587:japan
佐藤干夫	Mikio Sato	person_name_japanese	wikidata:Q556143:japan
佐藤幹夫	Mikio Sato	person_name_japanese	wikidata:Q556143:japan
佐藤榮作	Eisaku Satō	person_name_japanese	wikidata:Q179871:japan
佐藤琢磨	Takuma Sato	person_name_japanese	wikidata:Q171297:japan
佐藤直人	Naoto Satō	person_name_japanese	wikidata:Q112591:japan
佐藤荣作	Eisaku Satō	person_name_japanese	wikidata:Q179871:japan
佐藤达夫	Tatsuo Sato	person_name_japanese	wikidata:Q49963:japan
佐藤達夫	Tatsuo Sato	person_name_japanese	wikidata:Q49963:japan
佐藤順一	Junichi Sato	person_name_japanese	wikidata:Q142052:japan
佐藤顺一	Junichi Sato	person_name_japanese	wikidata:Q142052:japan
佐野优子	Yuko Sano	person_name_japanese	wikidata:Q257740:japan
佐野優子	Yuko Sano	person_name_japanese	wikidata:Q257740:japan
佐野常民	Sano Tsunetami	person_name_japanese	wikidata:Q555055:japan
俊宽	Shunkan	person_name_japanese	wikidata:Q73539:japan
俊寬	Shunkan	person_name_japanese	wikidata:Q73539:japan
保志总一朗	Sōichirō Hoshi	person_name_japanese	wikidata:Q556626:japan
保志總一朗	Sōichirō Hoshi	person_name_japanese	wikidata:Q556626:japan
倉場富三郎	Sadakichi Hartmann	person_name_japanese	wikidata:Q81807:japan
倉田秋	Shū Kurata	person_name_japanese	wikidata:Q210117:japan
倉藤倖	Sachi Kurafuji	person_name_japanese	wikidata:Q130450:japan
倖田來未	Kumi Koda	person_name_japanese	wikidata:Q229732:japan
光明	Emperor Kōmyō	person_name_japanese	wikidata:Q555520:japan
入山杏奈	Anna Iriyama	person_name_japanese	wikidata:Q169210:japan
入江陵介	Ryosuke Irie	person_name_japanese	wikidata:Q551273:japan
內山高志	Takashi Uchiyama	person_name_japanese	wikidata:Q24040:japan
內田夕夜	Yūya Uchida	person_name_japanese	wikidata:Q549931:japan
內田百閒	Hyakken Uchida	person_name_japanese	wikidata:Q437811:japan
內田真禮	Maaya Uchida	person_name_japanese	wikidata:Q44552:japan
內田良平	Ryōhei Uchida	person_name_japanese	wikidata:Q120662:japan
八十祐治	Yuji Yaso	person_name_japanese	wikidata:Q47662:japan
八神千岁	Chitose Yagami	person_name_japanese	wikidata:Q438554:japan
八神千歲	Chitose Yagami	person_name_japanese	wikidata:Q438554:japan
内山高志	Takashi Uchiyama	person_name_japanese	wikidata:Q24040:japan
内田夕夜	Yūya Uchida	person_name_japanese	wikidata:Q549931:japan
内田百闲	Hyakken Uchida	person_name_japanese	wikidata:Q437811:japan
内田真礼	Maaya Uchida	person_name_japanese	wikidata:Q44552:japan
内田良平	Ryōhei Uchida	person_name_japanese	wikidata:Q120662:japan
冈本公三	Kōzō Okamoto	person_name_japanese	wikidata:Q218862:japan
冈田有希子	Yukiko Okada	person_name_japanese	wikidata:Q254611:japan
冈田英次	Eiji Okada	person_name_japanese	wikidata:Q139253:japan
冢原光男	Mitsuo Tsukahara	person_name_japanese	wikidata:Q439417:japan
冬馬由美	Yumi Tōma	person_name_japanese	wikidata:Q49578:japan
冬马由美	Yumi Tōma	person_name_japanese	wikidata:Q49578:japan
出岛武春	Dejima Takeharu	person_name_japanese	wikidata:Q167315:japan
出島武春	Dejima Takeharu	person_name_japanese	wikidata:Q167315:japan
利根川进	Susumu Tonegawa	person_name_japanese	wikidata:Q108602:japan
利根川進	Susumu Tonegawa	person_name_japanese	wikidata:Q108602:japan
前上博	Hiroshi Maeue	person_name_japanese	wikidata:Q555742:japan
前原誠司	Seiji Maehara	person_name_japanese	wikidata:Q132280:japan
前原诚司	Seiji Maehara	person_name_japanese	wikidata:Q132280:japan
前川国男	Kunio Maekawa	person_name_japanese	wikidata:Q129938:japan
前川國男	Kunio Maekawa	person_name_japanese	wikidata:Q129938:japan
前田真宏	Mahiro Maeda	person_name_japanese	wikidata:Q81078:japan
前田美順	Miyuki Maeda	person_name_japanese	wikidata:Q457621:japan
前田美顺	Miyuki Maeda	person_name_japanese	wikidata:Q457621:japan
加藤善之	Yoshiyuki Kato	person_name_japanese	wikidata:Q47357:japan
加藤喜代美	Kiyomi Kato	person_name_japanese	wikidata:Q176273:japan
加藤晃夫	Hiroyuki Nagato	person_name_japanese	wikidata:Q555493:japan
加藤玲奈	Rena Katō	person_name_japanese	wikidata:Q169689:japan
加藤紘一	Koichi Kato	person_name_japanese	wikidata:Q49976:japan
加藤纮一	Koichi Kato	person_name_japanese	wikidata:Q49976:japan
加藤英美里	Emiri Katō	person_name_japanese	wikidata:Q50016:japan
加賀乙彥	Otohiko Kaga	person_name_japanese	wikidata:Q552356:japan
加賀乙彦	Otohiko Kaga	person_name_japanese	wikidata:Q552356:japan
加贺乙彦	Otohiko Kaga	person_name_japanese	wikidata:Q552356:japan
北出菜奈	Nana Kitade	person_name_japanese	wikidata:Q182576:japan
北川冬彥	Fuyuhiko Kitagawa	person_name_japanese	wikidata:Q552593:japan
北川冬彦	Fuyuhiko Kitagawa	person_name_japanese	wikidata:Q552593:japan
北濑佳范	Yoshinori Kitase	person_name_japanese	wikidata:Q551344:japan
北瀨佳範	Yoshinori Kitase	person_name_japanese	wikidata:Q551344:japan
北野武	Takeshi Kitano	person_name_japanese	wikidata:Q26372:japan
