# Generated from Unicode Unihan 17.0.0 kVietnamese plus kTraditionalVariant propagation
# Source: https://www.unicode.org/Public/17.0.0/ucd/Unihan.zip
# License: Unicode-3.0 https://www.unicode.org/license.txt
# Format: character<TAB>first Vietnamese reading<TAB>isCommon
另	lánh	true
叩	khấu	true
只	chỉ	true
叫	khiếu	true
召	chịu	true
叭	bớt	true
叮	đinh	true
可	khả	true
台	thai	true
叱	sứt	true
史	sử	true
右	hữu	true
叶	diệp	true
号	hiệu	true
司	ti	true
叹	han	true
叻	sựt	true
吀	xiên	true
吁	hu	true
吃	khật	true
各	các	true
合	hợp	true
吉	cát	true
同	đồng	true
名	danh	true
后	hậu	true
吏	lại	true
吐	thổ	true
向	hướng	true
吒	cha	true
吓	hách	true
吔	dã	true
吕	lã	true
吗	mửa	true
吘	ngỏ	true
君	quân	true
吝	lận	true
吟	ngâm	true
吣	tăm	true
否	bĩ	true
吧	và	true
吨	đồn	true
吩	phàn	true
吪	hoé	true
含	hàm	true
听	thính	true
吱	chê	true
吲	dặn	true
吳	ngô	true
吴	ngô	true
吵	sảo	true
吸	cộp	true
吹	xuy	true
吻	vẫn	true
吼	hống	true
吾	ngo	true
吿	cáo	true
呀	nhá	true
呂	lã	true
呃	nhách	true
呆	ngốc	true
呈	trình	true
呌	khiếu	true
呎	xếch	true
呐	nói	true
呖	rích	true
员	viên	true
呙	oà	true
呜	ô	true
呞	te	true
呠	bỏm	true
呡	răn	true
呢	nài	true
呤	gầm	true
呥	nhẻm	true
呦	ạo	true
周	chu	true
呫	chím	true
呭	thé	true
呱	oa	true
味	vị	true
呴	gâu	true
呵	ha	true
呶	nao	true
呸	bậy	true
呼	hô	true
命	mệnh	true
呿	khứa	true
咀	thở	true
咁	căm	true
咂	táp	true
咄	xót	true
咆	bàu	true
咈	phớt	true
咋	chạ	true
和	hoà	true
咍	hay	true
咏	vẳng	true
咐	phó	true
咒	chú	true
咘	bú	true
咙	lùng	true
咚	giọng	true
咠	nghiện	true
咢	ngạc	true
咣	quàng	true
咤	cha	true
咥	chối	true
咧	lác	true
咬	rao	true
咭	gắt	true
咮	chau	true
咯	khạc	true
咳	cay	true
咷	trệu	true
咹	ăn	true
咻	hiu	true
咼	oà	true
咽	nhằn	true
咾	láo	true
哀	ai	true
品	phẩm	true
哃	đùng	true
哄	họng	true
哆	đớ	true
哇	oà	true
哈	hóp	true
哉	tai	true
响	hưởng	true
哏	gắn	true
哒	đặt	true
哓	nghêu	true
哕	oẹ	true
哙	gọi	true
哝	nũng	true
員	viên	true
哢	trộng	true
哣	nhạu	true
哥	ca	true
哦	nga	true
哪	ná	true
哬	hà	true
哭	khóc	true
哮	hao	true
哰	rao	true
哱	buột	true
哲	triết	true
哳	chít	true
哺	phô	true
哽	ngạnh	true
哿	cả	true
唁	ngon	true
唅	hầm	true
唇	thần	true
唈	oạp	true
唉	hãy	true
唋	dứ	true
唎	lời	true
唏	hơi	true
唐	đường	true
唑	doạ	true
唒	dẫu	true
唠	lao	true
唤	hoán	true
唩	uẩy	true
唫	câm	true
唭	cười	true
唯	dõi	true
唱	xướng	true
唲	nhè	true
唶	tuếch	true
唷	dóc	true
唸	nếm	true
唹	ớ	true
唻	lải	true
唼	thép	true
唾	thoá	true
唿	hót	true
啀	nhai	true
啂	nhổ	true
啄	trốc	true
啅	chạc	true
商	thương	true
啉	lăm	true
啊	à	true
啌	hòng	true
啐	chót	true
啒	quắt	true
啛	xê	true
啜	xuýt	true
啣	hàm	true
啨	xênh	true
啩	quấy	true
啫	gia	true
啰	la	true
啱	nhàm	true
啷	lắng	true
啺	dể	true
啿	thầm	true
喁	ngụm	true
喂	ỏi	true
喃	nôm	true
善	thiện	true
喇	lạt	true
喉	hầu	true
喋	nhịp	true
喍	rầy	true
喎	oa	true
喑	ầm	true
喓	eo	true
喔	ộc	true
喘	suyễn	true
喚	hoán	true
喜	hỉ	true
喝	hát	true
喟	vị	true
喠	gióng	true
喡	vầy	true
喥	dạc	true
喦	nham	true
喧	huyên	true
喪	tang	true
喫	khịt	true
喭	ngán	true
單	đơn	true
喯	buông	true
喵	mếu	true
喷	phún	true
喻	dụ	true
喽	làu	true
嗃	gào	true
嗉	nhố	true
嗎	mửa	true
嗔	xin	true
嗕	nhóc	true
嗗	cút	true
嗙	bàng	true
嗚	ô	true
嗛	khem	true
嗡	óng	true
嗢	ồn	true
嗣	tự	true
嗳	áy	true
嗷	ngao	true
嗹	liến	true
嘆	han	true
嘇	thấm	true
嘈	tào	true
嘍	làu	true
嘘	hờ	true
嘤	inh	true
嘫	nhoẻn	true
嘬	chối	true
嘮	lao	true
嘱	chúc	true
嘲	trào	true
嘵	nghêu	true
嘶	tê	true
嘹	rêu	true
嘺	ghẹo	true
嘻	hi	true
噀	sún	true
噁	ạc	true
噂	ton	true
噅	vay	true
噋	xôn	true
噎	ế	true
噏	hấp	true
噒	rên	true
噓	hờ	true
噔	đằng	true
噙	gầm	true
噜	rủa	true
噞	thèm	true
噠	đặt	true
噡	thèm	true
噤	gặm	true
噥	nũng	true
噦	oẹ	true
器	khí	true
噪	tháo	true
噬	phè	true
噯	áy	true
噲	gọi	true
噴	phún	true
噶	gắt	true
噷	hăm	true
嚂	giạm	true
嚄	quác	true
嚅	nheo	true
嚈	ướm	true
嚉	dối	true
嚋	trù	true
嚎	hào	true
嚓	xát	true
嚕	rủa	true
嚛	nháo	true
嚜	mút	true
嚣	hiu	true
嚦	rích	true
嚧	lơ	true
嚨	lùng	true
嚯	oác	true
嚴	nghiêm	true
嚶	inh	true
囂	hiu	true
囄	le	true
囉	la	true
囑	chúc	true
囒	rợn	true
囕	trộm	true
囚	tù	true
四	tứ	true
回	hồi	true
因	nhân	true
团	đoàn	true
园	vườn	true
困	khốn	true
囱	song	true
围	vè	true
囷	khuân	true
固	cố	true
囻	quốc	true
国	quốc	true
图	đồ	true
圃	bo	true
圆	viên	true
圈	khuyên	true
國	quốc	true
圍	vè	true
園	viên	true
圓	viên	true
圖	đồ	true
團	đoàn	true
土	thổ	true
圣	thánh	true
在	tại	true
圩	vò	true
圬	hũ	true
圭	quê	true
圮	dãy	true
圯	dãy	true
地	địa	true
圹	khoảng	true
场	trường	true
址	xởi	true
坂	phẳng	true
均	quân	true
坊	phường	true
坋	phân	true
坎	khảm	true
坏	hoại	true
坑	ganh	true
块	khối	true
坚	kiên	true
坛	đàn	true
坜	gạch	true
坟	vun	true
坠	truỵ	true
坡	pha	true
坤	khôn	true
坦	đất	true
坧	gạch	true
坭	nơi	true
坵	gò	true
垂	thùy	true
垃	lắp	true
垄	lũng	true
垆	lò	true
垉	bàu	true
垌	đồng	true
垒	luỹ	true
垓	gay	true
垠	hằn	true
垢	cáu	true
垦	khẩn	true
垮	khoai	true
垵	ang	true
垹	bựng	true
埁	gậm	true
埂	ghềnh	true
埃	ai	true
埇	thõng	true
埈	thoạ	true
埋	mai	true
城	thành	true
埕	chĩnh	true
埙	ven	true
埝	nấm	true
域	vực	true
埣	giót	true
埩	chĩnh	true
埬	đống	true
埮	vịm	true
埯	ang	true
埶	đệm	true
執	chấp	true
培	bồi	true
基	cơ	true
堂	đường	true
堅	kiên	true
堆	đôi	true
堕	đoạ	true
堤	đê	true
堪	kham	true
堯	nghiêu	true
報	báo	true
場	trường	true
堷	om	true
塊	khối	true
塗	đồ	true
塘	đường	true
塞	tắc	true
塤	ven	true
填	điền	true
塳	vùng	true
塵	trần	true
塾	thục	true
境	cảnh	true
墅	thự	true
墆	đai	true
墓	mộ	true
墙	tường	true
墜	truỵ	true
增	tăng	true
墩	đôn	true
墫	chôn	true
墮	đoạ	true
墳	phần	true
墻	tường	true
墾	khẩn	true
壁	bích	true
壇	đàn	true
壈	bậm	true
壑	hác	true
壓	áp	true
壕	hào	true
壘	luỹ	true
壙	khoảng	true
壞	hoại	true
壟	lũng	true
壢	gạch	true
壤	nhưỡng	true
士	sĩ	true
壬	nhăm	true
壮	tráng	true
壯	tráng	true
声	thanh	true
壳	xác	true
壸	hồ	true
壹	nhất	true
壻	tế	true
壼	hồ	true
壽	thọ	true
处	xử	true
备	bị	true
复	hạ	true
夕	tịch	true
外	ngoại	true
夙	túc	true
多	đa	true
夜	dạ	true
大	đại	true
天	thiên	true
太	thái	true
夫	phu	true
夭	yểu	true
央	ương	true
失	thất	true
头	đầu	true
夷	dì	true
夸	khoa	true
夹	giáp	true
夺	đoạt	true
夾	giáp	true
奄	ăm	true
奇	kỳ	true
奈	nại	true
奉	phụng	true
奋	phấn	true
奏	tấu	true
契	khế	true
奖	tưởng	true
奢	xa	true
奥	áo	true
奧	áo	true
奨	tưởng	true
奪	đoạt	true
奬	tưởng	true
奮	phấn	true
女	nữa	true
奴	nô	true
奶	nái	true
奸	gian	true
好	háo	true
如	như	true
妃	phi	true
妆	trang	true
妇	phụ	true
妈	má	true
妍	ngơn	true
妒	đố	true
妓	kĩ	true
妖	yêu	true
妙	diệu	true
妝	trang	true
妥	thoả	true
妪	ẩu	true
妮	ni	true
妯	dâu	true
妲	dát	true
妸	ả	true
妹	muội	true
妻	thê	true
妾	thiếp	true
姂	bợm	true
姅	nửa	true
姈	lanh	true
姉	chị	true
姊	chị	true
始	thuỷ	true
姐	thư	true
姑	cô	true
姓	tính	true
委	uỷ	true
姚	diêu	true
姜	gừng	true
姤	cạu	true
姥	mụ	true
姦	gian	true
姨	dì	true
姪	đẹt	true
姻	nhân	true
姿	tư	true
威	uy	true
娄	lâu	true
娅	ả	true
娇	kiều	true
娓	vãi	true
娘	nương	true
娜	na	true
娥	nga	true
娲	oa	true
娶	thú	true
婁	lâu	true
婆	bà	true
婉	uyển	true
婍	gả	true
婢	tì	true
婦	phụ	true
婪	lam	true
婬	dâm	true
婭	ả	true
婴	anh	true
婶	thím	true
媄	mẹ	true
媎	chửa	true
媒	mối	true
媧	oa	true
媽	má	true
嫁	giá	true
嫂	dâu	true
嫌	hiềm	true
嫖	phếu	true
嫗	ẩu	true
嫡	đích	true
嫦	thường	true
嫩	non	true
嬌	kiều	true
嬖	bế	true
嬰	anh	true
嬸	thím	true
子	tí	true
孔	khổng	true
孕	dựng	true
字	tự	true
存	tồn	true
孙	tôn	true
孛	bụt	true
孝	hiếu	true
孟	mạnh	true
季	quí	true
孤	cô	true
孥	nua	true
学	học	true
孩	hài	true
孫	tôn	true
學	học	true
孺	nhọ	true
孽	nghiệt	true
宁	trữ	true
宇	vũ	true
守	thú	true
安	an	true
宋	tống	true
完	hoàn	true
宗	tông	true
官	quan	true
宙	trụ	true
定	định	true
宛	uyển	true
宜	nghi	true
宝	bảo	true
实	thực	true
宠	sủng	true
审	thẩm	true
客	khách	true
宣	tuyên	true
室	thất	true
宪	hiến	true
宫	cung	true
宰	tể	true
害	hại	true
宴	yến	true
家	gia	true
容	dung	true
宽	khoan	true
宾	tân	true
宿	túc	true
寂	tịch	true
寄	gửi	true
寅	dần	true
密	mật	true
寇	khấu	true
富	phú	true
寐	mị	true
寒	hàn	true
寓	ngụ	true
寔	thực	true
寞	mịch	true
察	sát	true
寠	lũ	true
寡	quả	true
實	thực	true
寨	trại	true
審	thẩm	true
寫	tả	true
寬	khoan	true
寵	sủng	true
寶	bảo	true
寸	thốn	true
对	đối	true
寻	tầm	true
导	đạo	true
寿	thọ	true
封	phong	true
射	xạ	true
将	tướng	true
將	tướng	true
專	chuyên	true
尊	tôn	true
尋	tầm	true
對	đỗi	true
導	đạo	true
小	tiểu	true
少	thiểu	true
尔	nể	true
尖	tiêm	true
尘	trần	true
尙	thượng	true
尚	chuộng	true
尧	nghiêu	true
尸	thây	true
尹	doãn	true
尺	xích	true
尼	ni	true
尽	tận	true
尾	vĩ	true
局	cục	true
层	tầng	true
居	cư	true
屈	khuất	true
屋	ốc	true
屍	thi	true
屏	bình	true
展	triển	true
属	thuộc	true
屠	đồ	true
屡	lũ	true
屢	lũ	true
層	tầng	true
屬	thuộc	true
屯	truân	true
山	sơn	true
屹	ngật	true
岌	ngập	true
岑	sầm	true
岛	đảo	true
岧	đèo	true
岩	nham	true
岱	đồi	true
岵	hô	true
岸	ngàn	true
峡	giáp	true
峣	nghèo	true
島	đảo	true
峽	giáp	true
崂	lao	true
崇	sùng	true
崊	lờm	true
崑	côn	true
崒	chót	true
崔	thôi	true
崖	day	true
崙	son	true
崭	chởm	true
嵁	kham	true
嵋	mi	true
嵎	giủng	true
嵩	tung	true
嵬	ngôi	true
嶄	chởm	true
嶗	lao	true
嶢	nghèo	true
巍	nguy	true
巖	nham	true
川	xuyên	true
州	châu	true
巡	tuần	true
巢	sào	true
工	công	true
左	tả	true
巧	xảo	true
巩	củng	true
差	sai	true
己	kỉ	true
已	dĩ	true
巳	tị	true
巴	ba	true
巽	rốn	true
巾	cân	true
帀	táp	true
币	giẻ	true
市	thị	true
布	bố	true
帅	soái	true
师	sư	true
希	hơi	true
帐	trướng	true
帑	nô	true
帒	đẫy	true
帖	thiếp	true
帘	rèm	true
帜	xí	true
帝	đấy	true
帥	soái	true
带	đai	true
帧	tranh	true
師	sư	true
帳	trướng	true
帶	đai	true
常	thường	true
帽	mão	true
幀	tranh	true
幅	bức	true
幍	thao	true
幔	màn	true
幛	trướng	true
幟	xí	true
幡	phan	true
幢	choàng	true
幣	giẻ	true
干	can	true
平	bình	true
年	nên	true
并	tính	true
幻	ảo	true
幼	ấu	true
广	quảng	true
庄	chăng	true
庆	khánh	true
床	sàng	true
序	tựa	true
庑	vu	true
库	kho	true
应	ứng	true
底	để	true
店	điếm	true
庙	miếu	true
庚	canh	true
府	phủ	true
废	phế	true
度	độ	true
座	toà	true
庫	kho	true
庭	đình	true
庵	am	true
庶	thứ	true
康	khang	true
廁	xí	true
廂	rương	true
廈	hè	true
廉	liêm	true
廊	lang	true
廓	quách	true
廕	ấm	true
廚	chù	true
廛	chờn	true
廟	miếu	true
